人民币账户铂金	279.43	281.83	280.63	281.87	280.19	2013-11-12 19:36:00
人民币账户钯金	145.89	148.29	147.09	147.96	146.59	2013-11-12 19:36:00
美元账户黄金	1280.12	1283.12	1281.62	1284.30	1276.55	2013-11-12 19:36:00
美元账户白银	21.12	21.26	21.19	21.42	21.08	2013-11-12 19:36:00
美元账户铂金	1426.83	1438.83	1432.83	1438.88	1430.67	2013-11-12 19:36:00
美元账户钯金	745.00	757.00	751.00	755.64	748.50	2013-11-12 19:36:00
人民币账户黄金	250.27	251.07	250.67	251.53	250.02	2013-11-12 20:30:05
人民币账户白银	4.12	4.16	4.14	4.20	4.13	2013-11-12 20:30:05
人民币账户铂金	279.61	282.01	280.81	281.87	280.19	2013-11-12 20:30:05
人民币账户钯金	145.50	147.90	146.70	147.96	146.59	2013-11-12 20:30:05
美元账户黄金	1278.35	1281.35	1279.85	1284.30	1276.55	2013-11-12 20:30:05
美元账户白银	21.10	21.24	21.17	21.42	21.08	2013-11-12 20:30:05
美元账户铂金	1427.82	1439.82	1433.82	1438.88	1430.67	2013-11-12 20:30:05
美元账户钯金	743.00	755.00	749.00	755.64	748.00	2013-11-12 20:30:05
人民币账户黄金	250.38	251.18	250.78	251.53	250.02	2013-11-12 20:35:32
人民币账户白银	4.13	4.17	4.15	4.20	4.13	2013-11-12 20:35:32
人民币账户铂金	279.66	282.06	280.86	281.87	280.19	2013-11-12 20:35:32
人民币账户钯金	145.50	147.90	146.70	147.96	146.59	2013-11-12 20:35:32
美元账户黄金	1279.00	1282.00	1280.50	1284.30	1276.55	2013-11-12 20:35:32
美元账户白银	21.12	21.26	21.19	21.42	21.08	2013-11-12 20:35:32
美元账户铂金	1428.40	1440.40	1434.40	1438.88	1430.67	2013-11-12 20:35:32
美元账户钯金	743.00	755.00	749.00	755.64	748.00	2013-11-12 20:35:32
人民币账户黄金	250.62	251.42	251.02	251.53	250.02	2013-11-12 20:37:26
人民币账户白银	4.14	4.18	4.16	4.20	4.13	2013-11-12 20:37:26
人民币账户铂金	279.85	282.25	281.05	281.87	280.19	2013-11-12 20:37:26
人民币账户钯金	145.79	148.19	146.99	147.96	146.59	2013-11-12 20:37:26
美元账户黄金	1280.10	1283.10	1281.60	1284.30	1276.55	2013-11-12 20:37:26
美元账户白银	21.15	21.30	21.22	21.42	21.08	2013-11-12 20:37:26
